date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:24	126136/126136	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:23%20GMT	https://pokealec.com/practice.pokealec.com/	/Users/ngw/websites/pokealecdotcom/pokealec.com/practice.pokealec.com/index.html	(from )
11:51:27	126077/126077	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:26%20GMT	https://practice.pokealec.com/	/Users/ngw/websites/pokealecdotcom/practice.pokealec.com/index.html	(from )
11:51:30	226619/226619	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:28%20GMT	https://practice.pokealec.com/?page_id=10	/Users/ngw/websites/pokealecdotcom/practice.pokealec.com/indexcdf1.html	(from )
11:51:32	102644/102644	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:31%20GMT	https://practice.pokealec.com/?page_id=2	/Users/ngw/websites/pokealecdotcom/practice.pokealec.com/indexba53.html	(from )
11:51:34	128651/128651	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:33%20GMT	https://practice.pokealec.com/?cat=1	/Users/ngw/websites/pokealecdotcom/practice.pokealec.com/indexb31a.html	(from )
11:51:34	238/238	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Dec%202025%2018:51:21%20GMT	https://pokealec.com/robots.txt		(from )
11:51:34	1004/1004	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:21%20GMT	https://pokealec.com/	/Users/ngw/websites/pokealecdotcom/pokealec.com/index.html	(from )
11:51:54	45908/45908	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:23%20GMT	https://nonprofit.pokealec.com/	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/index.html	(from )
11:52:05	1004/1004	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:34%20GMT	https://pokealec.com/?C=N;O=D	/Users/ngw/websites/pokealecdotcom/pokealec.com/indexc052.html	(from https://pokealec.com/)
11:52:05	1004/1004	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:35%20GMT	https://pokealec.com/?C=M;O=A	/Users/ngw/websites/pokealecdotcom/pokealec.com/indexf8a0.html	(from https://pokealec.com/)
11:52:06	116/116	---MCZ	200	added ('OK')	text/plain	date:Sat,%2027%20Dec%202025%2018:51:35%20GMT	https://nonprofit.pokealec.com/robots.txt		(from )
11:52:25	1004/1004	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:51:54%20GMT	https://pokealec.com/?C=S;O=A	/Users/ngw/websites/pokealecdotcom/pokealec.com/indexbfec.html	(from https://pokealec.com/)
11:52:25	318/318	---MCZ	403	error ('Forbidden')	text/html	date:Sat,%2027%20Dec%202025%2018:52:06%20GMT	https://pokealec.com/cgi-bin/	/Users/ngw/websites/pokealecdotcom/pokealec.com/cgi-bin/index.html	(from https://pokealec.com/)
11:52:25	1004/1004	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Dec%202025%2018:52:05%20GMT	https://pokealec.com/?C=D;O=A	/Users/ngw/websites/pokealecdotcom/pokealec.com/index30b5.html	(from https://pokealec.com/)
11:52:25	27732/27732	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Dec%202025%2018:52:07%20GMT	https://pokealec.com/nonprofit.pokealec.com/	/Users/ngw/websites/pokealecdotcom/pokealec.com/nonprofit.pokealec.com/index.html	(from https://pokealec.com/)
11:52:26	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2027%20Dec%202025%2018:52:26%20GMT	https://nonprofit.pokealec.com/xmlrpc.php	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/xmlrpc.0.delayed	(from https://nonprofit.pokealec.com/)
11:52:27	1621/1621	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2027%20Dec%202025%2018:52:27%20GMT	http://fonts.googleapis.com/	/Users/ngw/websites/pokealecdotcom/fonts.googleapis.com/index.html	(from https://nonprofit.pokealec.com/)
11:52:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Dec%202025%2018:52:27%20GMT	http://stats.wp.com/	/Users/ngw/websites/pokealecdotcom/stats.wp.com/index.html	(from https://nonprofit.pokealec.com/)
11:52:28	2110/2110	---MCZ	200	added ('OK')	application/json	date:Sat,%2027%20Dec%202025%2018:52:27%20GMT	https://nonprofit.pokealec.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnonprofit.pokealec.com%2F	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-json/oembed/1.0/embed2fa7.json	(from https://nonprofit.pokealec.com/)
11:52:28	1856/1856	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22799c630a90d40cf53790b409e848b23e%22	https://nonprofit.pokealec.com/feed/	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/feed/index.html	(from https://nonprofit.pokealec.com/)
11:52:29	1698/1698	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22799c630a90d40cf53790b409e848b23e%22	https://nonprofit.pokealec.com/comments/feed/	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/comments/feed/index.html	(from https://nonprofit.pokealec.com/)
11:52:29	2247/2247	---MCZ	200	added ('OK')	text/xml	date:Sat,%2027%20Dec%202025%2018:52:29%20GMT	https://nonprofit.pokealec.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fnonprofit.pokealec.com%2F&format=xml	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-json/oembed/1.0/embed1d8e	(from https://nonprofit.pokealec.com/)
11:52:29	2695/2695	---MC-	200	added ('OK')	text/css	date:Sat,%2027%20Dec%202025%2018:52:29%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:300italic,400italic,600italic,700italic,800italic,400,300,600,700,800&subset=latin,latin-ext&display=swap	/Users/ngw/websites/pokealecdotcom/fonts.googleapis.com/cssded4.css	(from https://nonprofit.pokealec.com/)
11:52:31	6256/6256	---MCZ	200	added ('OK')	text/css	date:Thu,%2003%20Apr%202025%2006:08:11%20GMT	https://nonprofit.pokealec.com/wp-content/themes/specialchild/style.css?ver=4.9.4	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/themes/specialchild/stylecbf4.css	(from https://nonprofit.pokealec.com/)
11:52:32	59004/59004	---MCZ	200	added ('OK')	text/css	date:Wed,%2003%20Dec%202025%2013:19:45%20GMT	https://nonprofit.pokealec.com/wp-includes/css/dashicons.min.css?ver=6.9	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-includes/css/dashicons.mind4d0.css	(from https://nonprofit.pokealec.com/)
11:52:33	87553/87553	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2028%20Aug%202023%2023:14:24%20GMT	https://nonprofit.pokealec.com/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-includes/js/jquery/jquery.minf43b.js	(from https://nonprofit.pokealec.com/)
11:52:34	13577/13577	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2009%20Jun%202023%2011:49:24%20GMT	https://nonprofit.pokealec.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://nonprofit.pokealec.com/)
11:52:35	15804/15804	---MCZ	200	added ('OK')	application/json	date:Sat,%2027%20Dec%202025%2018:52:34%20GMT	https://nonprofit.pokealec.com/wp-json/wp/v2/pages/7	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-json/wp/v2/pages/7.json	(from https://nonprofit.pokealec.com/)
11:52:36	407684/407684	---MCZ	200	added ('OK')	application/json	date:Sat,%2027%20Dec%202025%2018:52:36%20GMT	https://nonprofit.pokealec.com/wp-json/	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-json/index.html	(from https://nonprofit.pokealec.com/)
11:52:36	846/846	---MCZ	200	added ('OK')	text/xml	date:Sat,%2027%20Dec%202025%2018:52:36%20GMT	https://nonprofit.pokealec.com/xmlrpc.php?rsd	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/xmlrpc0db0.php	(from https://nonprofit.pokealec.com/)
11:52:36	92400/92400	---M--	200	added ('OK')	font/ttf	date:Fri,%2014%20Mar%202025%2017:56:44%20GMT	https://nonprofit.pokealec.com/wp-content/themes/SpecialDivi/core/admin/fonts/modules.ttf	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/themes/SpecialDivi/core/admin/fonts/modules.ttf	(from https://nonprofit.pokealec.com/)
11:52:38	2936/2936	---MCZ	200	added ('OK')	text/css	date:Tue,%2009%20Dec%202025%2020:14:51%20GMT	https://nonprofit.pokealec.com/wp-content/et-cache/7/et-core-unified-7-17653112901219.min.css	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/et-cache/7/et-core-unified-7-17653112901219.min.css	(from https://nonprofit.pokealec.com/)
11:52:38	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Dec%202025%2018:52:38%20GMT	http://nonprofit.pokealec.com/?wordfence_lh=1&hid=C13C1B4F1F6F63B847A017A4F534E1E9	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/index2482.html	(from https://nonprofit.pokealec.com/)
11:52:38	13793/13793	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2003:27:11%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/enlies-logo.png	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/enlies-logo.png	(from https://nonprofit.pokealec.com/)
11:52:39	22651/22651	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Mar%202025%2003:18:36%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/enlies-concept-e1742440716389.jpg	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/enlies-concept-e1742440716389.jpg	(from https://nonprofit.pokealec.com/)
11:52:40	85112/85112	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Mar%202025%2003:19:45%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/og-front.jpg	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/og-front.jpg	(from https://nonprofit.pokealec.com/)
11:52:41	30961/30961	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Mar%202025%2003:21:55%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/enlies-in-the-woods-e1742440915670.jpg	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/enlies-in-the-woods-e1742440915670.jpg	(from https://nonprofit.pokealec.com/)
11:52:42	62644/62644	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Mar%202025%2003:23:34%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/enlies-professional-sketch.jpg	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/enlies-professional-sketch.jpg	(from https://nonprofit.pokealec.com/)
11:52:43	8439/8439	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2000:26:45%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/location.png	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/location.png	(from https://nonprofit.pokealec.com/)
11:52:44	13786/13786	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2000:29:22%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/protection.png	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/protection.png	(from https://nonprofit.pokealec.com/)
11:52:45	13462/13462	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2000:32:22%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/search.png	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/search.png	(from https://nonprofit.pokealec.com/)
11:52:46	7368/7368	---M--	200	added ('OK')	image/png	date:Thu,%2020%20Mar%202025%2000:34:08%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/heal.png	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/heal.png	(from https://nonprofit.pokealec.com/)
11:52:47	58699/58699	---M--	200	added ('OK')	image/jpeg	date:Thu,%2020%20Mar%202025%2003:26:11%20GMT	https://nonprofit.pokealec.com/wp-content/uploads/2025/03/Enlies-call-to-action.jpg	/Users/ngw/websites/pokealecdotcom/nonprofit.pokealec.com/wp-content/uploads/2025/03/Enlies-call-to-action.jpg	(from https://nonprofit.pokealec.com/)
